prabhag_no,anganwadi,school,primary_health_center,nagari_suvidha_kendra,virangula_kendra,gym,garden,night_shelter,,value_for_anganwadi_index,max_value,min_value,anganwadi_index,value_for_school_index,max_value,min_value,school_index,value_for_primary_health_center_index,max_value,min_value,primary_health_center_index,value_for_nagari_suvidha_kendra_index,max_value,min_value,nagari_suvidha_kendra_index,value_for_virangula_kendra_index,max_value,min_value,virangula_kendra_index,value_for_gym_index,max_value,min_value,gym_index,value_for_garden_index,max_value,min_value,garden_index,value_for_night_shelter_index,max_value,min_value,night_shelter_index,public_amenities_index
30,10,1,1,0,1,1,2,0,,10,21,0,0.48,1,13,0,0.08,1,52,0,0.02,0,2,0,0,1,4,0,0.25,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.21
31,0,3,1,0,0,0,1,0,,0,21,0,0.00,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.09
32,0,1,2,0,0,0,0,0,,0,21,0,0.00,1,13,0,0.08,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.03
33,2,0,0,1,4,0,0,0,,2,21,0,0.10,0,13,0,0.00,0,52,0,0.00,1,2,0,0.5,4,4,0,1,0,6,0,0.00,0,10,0,0,0,2,0,0,0.40
34,0,1,0,0,0,0,3,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.11
35,0,1,0,0,1,0,1,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,1,4,0,0.25,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.10
36,0,2,1,0,0,2,3,0,,0,21,0,0.00,2,13,0,0.15,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,3,10,0,0.3,0,2,0,0,0.17
37,1,2,2,1,0,1,2,0,,1,21,0,0.05,2,13,0,0.15,2,52,0,0.04,1,2,0,0.5,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.21
38,0,3,0,1,0,2,2,0,,0,21,0,0.00,3,13,0,0.23,0,52,0,0.00,1,2,0,0.5,0,4,0,0,2,6,0,0.33,2,10,0,0.2,0,2,0,0,0.24
39,0,3,2,1,0,0,0,0,,0,21,0,0.00,3,13,0,0.23,2,52,0,0.04,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.20
