prabhag_no,%_of_hh_with_underground_drainage_connection_in_society_data,%_hh_with_underground_drainage_connection_in_slums_data,%_of_hh_with_underground_drainage_connection_in_chawls_and_gaothan_data,number_of_community_toilet_seats,number_of_free_public_toilet_seats_for_female,number_of_paid_public_toilet_seats_for_male,number_of_paid_public_toilet_seats_for_female,number_of_urinals_for_male,number_of_residents_not_covered_with_toilet_seats,,%_of_hh_with_underground_drainage_connection_in_societies,%_of_hh_with_underground_drainage_connection_in_slums,%_of_hh_with_underground_drainage_connection_in_chawl_and_gaothan,number_of_residents_not_covered_with_toilet_seats,number_of_community_toilet_seats_required= (number of hh without toilet seats*5(family size)/Std for community toilets (e.g. 1 for 40 people),number_of_functioning_community_toilet_seats_available/number_of_community_toilet_seats_required,total_length_of_roads_in_prabhag _in_km,number_of_functioning_public_toilet_seats,number_of_functioning_toilet_seats_required=total_road_length_in_prabhag,number_of_functioning _public_toilet_seats/number_of_public_toilet_seats_required,,societies_drainage_connection_value,max_value,min_value,societies_drainage_connection_index,slums_drainage_connection_value,max_value,min_value,slums_drainage_connection_index,chawls_drainage_connection_value,max_value,min_value,chawls_drainage_connection_index,value_of_available_community_toilets_against_required_community_toilets,max_value,min_value,community_toilet_index,value_of_available_public_toilets_against_required_public_toilets,max_value,min_value,public_toilet_index,final_sanitation_index
53,70,90,70,115,51,34,23,17,0.1,,70.00,90.00,70.00,0.10,0.00,46000.00,25.34,108.00,25.34,4.26,,70.00,100.00,70.00,0.00,90.00,100.00,20.00,0.88,70.00,100.00,1.00,0.70,46000.00,227600.00,0.00,0.20,4.26,101.33,0.00,0.04,0.51
54,100,90,90,12,6,0,0,6,0.1,,100.00,90.00,90.00,0.10,0.00,4800.00,36.50,6.00,36.50,0.16,,100.00,100.00,70.00,1.00,90.00,100.00,20.00,0.88,90.00,100.00,1.00,0.90,4800.00,227600.00,0.00,0.02,0.16,101.33,0.00,0.00,0.72
55,80,95,100,59,33,26,30,6,0.1,,80.00,95.00,100.00,0.10,0.00,23600.00,21.00,89.00,21.00,4.24,,80.00,100.00,70.00,0.33,95.00,100.00,20.00,0.94,100.00,100.00,1.00,1.00,23600.00,227600.00,0.00,0.10,4.24,101.33,0.00,0.04,0.63
56,100,80,55,151,84,135,153,2,0.1,,100.00,80.00,55.00,0.10,0.00,60400.00,16.98,372.00,16.98,21.91,,100.00,100.00,70.00,1.00,80.00,100.00,20.00,0.75,55.00,100.00,1.00,0.55,60400.00,227600.00,0.00,0.27,21.91,101.33,0.00,0.22,0.63
57,100,100,100,443,223,101,102,31,0.1,,100.00,100.00,100.00,0.10,0.00,177200.00,15.45,426.00,15.45,27.57,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,177200.00,227600.00,0.00,0.78,27.57,101.33,0.00,0.27,0.86
58,100,100,100,24,14,12,9,31,350,,100.00,100.00,100.00,350.00,8.75,2.74,8.00,35.00,8.00,4.38,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,2.74,227600.00,0.00,0.00,4.38,101.33,0.00,0.04,0.77
59,100,100,100,120,46,82,68,40,722,,100.00,100.00,100.00,722.00,18.05,6.65,5.20,196.00,5.20,37.69,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,6.65,227600.00,0.00,0.00,37.69,101.33,0.00,0.37,0.79
60,100,100,100,74,45,62,55,11,1712,,100.00,100.00,100.00,1712.00,42.80,1.73,5.25,162.00,5.25,30.86,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,1.73,227600.00,0.00,0.00,30.86,101.33,0.00,0.30,0.79
61,100,95,100,50,29,20,24,12,447,,100.00,95.00,100.00,447.00,11.18,4.47,26.73,73.00,26.73,2.73,,100.00,100.00,70.00,1.00,95.00,100.00,20.00,0.94,100.00,100.00,1.00,1.00,4.47,227600.00,0.00,0.00,2.73,101.33,0.00,0.03,0.76
62,90,90,90,18,13,81,44,7,447,,90.00,90.00,90.00,447.00,11.18,1.61,49.44,138.00,49.44,2.79,,90.00,100.00,70.00,0.67,90.00,100.00,20.00,0.88,90.00,100.00,1.00,0.90,1.61,227600.00,0.00,0.00,2.79,101.33,0.00,0.03,0.64
63,90,85,98,42,18,46,45,0,447,,90.00,85.00,98.00,447.00,11.18,3.76,32.83,109.00,32.83,3.32,,90.00,100.00,70.00,0.67,85.00,100.00,20.00,0.81,98.00,100.00,1.00,0.98,3.76,227600.00,0.00,0.00,3.32,101.33,0.00,0.03,0.64
64,100,85,80,129,41,18,24,22,1670,,100.00,85.00,80.00,1670.00,41.75,3.09,13.45,83.00,13.45,6.17,,100.00,100.00,70.00,1.00,85.00,100.00,20.00,0.81,80.00,100.00,1.00,0.80,3.09,227600.00,0.00,0.00,6.17,101.33,0.00,0.06,0.68
