prabhag_no,door_to_door_collection_percentage,gate_to_gate_collection_percentage,total_waste_collected_in_tons,total_waste_generated_in_tons,number_of_informal_points_where_solid_waste_gets_accumulated_data,,hh_in_the_prabhag,%_of_hh_covered_under_door_to_door_collection,%_of_hh_under_gate_collection,%_of_waste_collected_against_generated_in_a_prabhag,number_of_informal_points_where_solid_waste_gets_accumulated,,%_of_hh_covered_under_door_to_door_collection,max_value,min_value,door_to_door_garbage_collection_index,%_of_hh_under_gate_collection,max_value,min_value,gate_to_gate_garbage_collection_index,%_of_waste_collected_against_generated_in_a_prabhag,max_value,min_value,waste_collection_index,number_of_informal_points_where_solid_waste_gets_accumulated,max_value,min_value,informal_waste_collection_points_index,final_solid_waste_management_index
25,5,28.68,16.5,16.5,10,,,5,28.68,100.00,10,,5.00,101.84,0.00,0.05,28.68,100.00,0.00,0.29,100.00,100.00,20.06,1.00,10.00,0.00,29.00,0.66,0.62
26,85,85,12.75,15,6,,,85,85,85.00,6,,85.00,101.84,0.00,0.83,85.00,100.00,0.00,0.85,85.00,100.00,20.06,0.81,6.00,0.00,29.00,0.79,0.82
27,80,80,20.4,24,9,,,80,80,85.00,9,,80.00,101.84,0.00,0.79,80.00,100.00,0.00,0.80,85.00,100.00,20.06,0.81,9.00,0.00,29.00,0.69,0.77
28,87,87,13.6,16,4,,,87,87,85.00,4,,87.00,101.84,0.00,0.85,87.00,100.00,0.00,0.87,85.00,100.00,20.06,0.81,4.00,0.00,29.00,0.86,0.85
29,90,90,15,30,8,,,90,90,50.00,8,,90.00,101.84,0.00,0.88,90.00,100.00,0.00,0.90,50.00,100.00,20.06,0.37,8.00,0.00,29.00,0.72,0.75
30,16500,2150,24,29,8,,22687,72.73,9.48,82.76,8,,72.73,101.84,0.00,0.71,9.48,100.00,0.00,0.09,82.76,100.00,20.06,0.78,8.00,0.00,29.00,0.72,0.64
31,45.78,45.78,15,28.66,1,,,45.78,45.78,52.34,1,,45.78,101.84,0.00,0.45,45.78,100.00,0.00,0.46,52.34,100.00,20.06,0.40,1.00,0.00,29.00,0.97,0.61
32,0.6,0.15,8.5,9,3,,,60.00,15.00,94.44,3,,60.00,101.84,0.00,0.59,15.00,100.00,0.00,0.15,94.44,100.00,20.06,0.93,3.00,0.00,29.00,0.90,0.71
33,0.99,0.9905,6.5,12,2,,,99.00,0.00,54.17,2,,99.00,101.84,0.00,0.97,0.00,100.00,0.00,0.00,54.17,100.00,20.06,0.43,2.00,0.00,29.00,0.93,0.71
34,93,93,12.75,15,2,,,93,93,85.00,2,,93.00,101.84,0.00,0.91,93.00,100.00,0.00,0.93,85.00,100.00,20.06,0.81,2.00,0.00,29.00,0.93,0.90
35,60,90,13.6,16.01,8,,,60,90,84.95,8,,60.00,101.84,0.00,0.59,90.00,100.00,0.00,0.90,84.95,100.00,20.06,0.81,8.00,0.00,29.00,0.72,0.76
36,7310,7310,22,22,1,,10422,70.14,70.14,100.00,1,,70.14,101.84,0.00,0.69,70.14,100.00,0.00,0.70,100.00,100.00,20.06,1.00,1.00,0.00,29.00,0.97,0.85
37,32,13,11.34,13.34,5,,,32,13,85.01,5,,32.00,101.84,0.00,0.31,13.00,100.00,0.00,0.13,85.01,100.00,20.06,0.81,5.00,0.00,29.00,0.83,0.60
38,14,67,11.08,13.04,4,,,14,67,84.97,4,,14.00,101.84,0.00,0.14,67.00,100.00,0.00,0.67,84.97,100.00,20.06,0.81,4.00,0.00,29.00,0.86,0.68
39,35,20,10.8,12,7,,,35,20,90.00,7,,35.00,101.84,0.00,0.34,20.00,100.00,0.00,0.20,90.00,100.00,20.06,0.87,7.00,0.00,29.00,0.76,0.61
40,1580,3139,15.5,18,10,,8792,17.97,35.70,86.11,10,,17.97,101.84,0.00,0.18,35.70,100.00,0.00,0.36,86.11,100.00,20.06,0.83,10.00,0.00,29.00,0.66,0.56
41,0.2,0.35,27.95,27.95,9,,,20.00,35.00,100.00,9,,20.00,101.84,0.00,0.20,35.00,100.00,0.00,0.35,100.00,100.00,20.06,1.00,9.00,0.00,29.00,0.69,0.64
42,50,30,12,20,14,,,50,30,60.00,14,,50.00,101.84,0.00,0.49,30.00,100.00,0.00,0.30,60.00,100.00,20.06,0.50,14.00,0.00,29.00,0.52,0.46
43,90,95,14,18,10,,,90,95,77.78,10,,90.00,101.84,0.00,0.88,95.00,100.00,0.00,0.95,77.78,100.00,20.06,0.72,10.00,0.00,29.00,0.66,0.81
44,60,90,16,18,12,,,60,90,88.89,12,,60.00,101.84,0.00,0.59,90.00,100.00,0.00,0.90,88.89,100.00,20.06,0.86,12.00,0.00,29.00,0.59,0.75
45,60,60,16,35,20,,,60,60,45.71,20,,60.00,101.84,0.00,0.59,60.00,100.00,0.00,0.60,45.71,100.00,20.06,0.32,20.00,0.00,29.00,0.31,0.48
46,0.1,0.45,11.4,11.4,9,,,10.00,45.00,100.00,9,,10.00,101.84,0.00,0.10,45.00,100.00,0.00,0.45,100.00,100.00,20.06,1.00,9.00,0.00,29.00,0.69,0.65
47,15,15,6.3,9,5,,,15,15,70.00,5,,15.00,101.84,0.00,0.15,15.00,100.00,0.00,0.15,70.00,100.00,20.06,0.62,5.00,0.00,29.00,0.83,0.53
48,20,20,9.75,13,8,,,20,20,75.00,8,,20.00,101.84,0.00,0.20,20.00,100.00,0.00,0.20,75.00,100.00,20.06,0.69,8.00,0.00,29.00,0.72,0.52
49,26.38,44.69,12.24,14.4,3,,,26.38,44.69,85.00,3,,26.38,101.84,0.00,0.26,44.69,100.00,0.00,0.45,85.00,100.00,20.06,0.81,3.00,0.00,29.00,0.90,0.66
50,10,40,20.12,23.67,2,,,10,40,85.00,2,,10.00,101.84,0.00,0.10,40.00,100.00,0.00,0.40,85.00,100.00,20.06,0.81,2.00,0.00,29.00,0.93,0.65
51,20,55,9.89,11.63,4,,,20,55,85.04,4,,20.00,101.84,0.00,0.20,55.00,100.00,0.00,0.55,85.04,100.00,20.06,0.81,4.00,0.00,29.00,0.86,0.66
52,30,30,10.38,12.21,3,,,30,30,85.01,3,,30.00,101.84,0.00,0.29,30.00,100.00,0.00,0.30,85.01,100.00,20.06,0.81,3.00,0.00,29.00,0.90,0.64
53,20,80,12.65,14.888,3,,,20,80,84.97,3,,20.00,101.84,0.00,0.20,80.00,100.00,0.00,0.80,84.97,100.00,20.06,0.81,3.00,0.00,29.00,0.90,0.73
54,70,60,22.68,26.683,3,,,70,60,85.00,3,,70.00,101.84,0.00,0.69,60.00,100.00,0.00,0.60,85.00,100.00,20.06,0.81,3.00,0.00,29.00,0.90,0.76
55,23,8,10.14,11.931,3,,,23,8,84.99,3,,23.00,101.84,0.00,0.23,8.00,100.00,0.00,0.08,84.99,100.00,20.06,0.81,3.00,0.00,29.00,0.90,0.62
56,0,0,15.76,18.541,3,,,0,0,85.00,3,,0.00,101.84,0.00,0.00,0.00,100.00,0.00,0.00,85.00,100.00,20.06,0.81,3.00,0.00,29.00,0.90,0.60
